Catalog Number,Alternative Number,Source,Species,longitude,latitude,RB,IOC,ZB,MB,GSL,NL,RL,OL,RD,CDM1,BaL,PLa,CIL,MTRL,MaxB,D,IFL,IFW,BuL,OccW,LMD,MD
USNM582772,,NMNH,P. simonsi,-72.94991,-11.58344,9.25,12.15,27.63,20.85,60.34,24.83,25.07,14.98,12.43,16.1,41.51,18.49,48.35,8.04,9.63,12.05,5.45,3.2,10.7,9.68,7.4,30.75
USNM582897,,NMNH,P. simonsi,-72.94991,-11.58344,8.77,11.45,25.29,19.65,54.63,21.03,22.26,13.72,10.17,14.02,37.02,16.73,43.35,8.21,9.17,10.3,4.54,2.73,9.85,9.83,5.7,27.51
MPEG28369,,MPEG,P. steerei,-70.75008,-6.83344,9.81,12.93,27.57,21.93,61.3,22.67,24.34,15.34,11.8,16.19,43.52,21.65,50.15,8.03,9.66,14.09,6.92,3.32,11.45,10.57,8.77,31.3
MPEG28486,MVZ194909,MPEG,P. steerei,-70.73359,-6.80001,8.21,12.45,25.71,21.06,58.14,23.06,23.67,14.6,11.31,14.61,41.09,20.24,47.76,8.28,8.68,12.85,5.29,2.93,10.63,10.5,7.89,30.6
MPEG28491,MVZ194914,MPEG,P. steerei,-70.73359,-6.80001,9.61,13.77,28.42,21.98,63.3,25.88,26.04,15.68,12.13,16.8,42.72,21.22,50.92,8.93,9.57,13.17,5.41,2.56,10.73,10.66,7.9,33.34
MPEG28492,,MPEG,P. steerei,-70.73359,-6.80001,9.26,12.16,28.29,21.92,59.68,23.93,23.98,16.38,11.84,16.52,42.44,20.38,49.53,8.81,9.92,13.16,6.11,2.77,10.86,10.07,8.13,31.55
MPEG28493,,MPEG,P. steerei,-70.73359,-6.80001,8.44,12.39,25.91,20.46,59.84,24.39,24.92,15.76,11.5,15.29,42.58,20.95,48.99,8.9,9.52,12.8,6.01,2.87,10.06,9.58,7.51,32.04
MPEG28529,,MPEG,P. steerei,-70.75008,-6.83344,8.48,11.1,24.39,19.78,54.27,20.92,21.66,14.76,9.96,13.78,37.59,19.03,44.39,8.44,8.46,11.7,5.37,2.2,10.15,9.83,6.82,30.08
MPEG28531,,MPEG,P. steerei,-70.73359,-6.80001,9.34,13.23,26.26,22.05,61.32,25,25.04,15.53,11.86,16.55,41.76,20.24,49.78,8.25,9.87,13.05,5.52,2.96,10.05,9.91,8.39,31.11
MPEG28532,,MPEG,P. steerei,-70.73359,-6.80001,9.84,12.93,27.61,21.19,59.98,24.25,24.41,15.31,12.02,15.89,42.66,20.98,49.87,8.69,9.73,12.59,5.8,2.7,10.47,10.63,7.91,31.26
MPEG28533,,MPEG,P. steerei,-70.73359,-6.80001,9.88,14.45,28.69,22.66,61.86,24.35,24.53,15.52,12.1,17.16,42.83,20.42,50.66,8.79,9.97,12.65,4.82,3.04,11.15,10.74,7.42,31.82
MPEG28534,,MPEG,P. steerei,-70.73359,-6.80001,10.35,13.04,28.57,22.79,66.96,27.59,27.4,15.66,12.29,16.85,45.87,23.62,53.86,8.83,9.82,14.35,6.35,2.69,10.7,11.01,8.96,34.19
MPEG28535,,MPEG,P. steerei,-70.73359,-6.80001,9.13,12.28,27.91,21.67,63.62,24.97,25.49,16.18,12.03,16.18,44.23,21.76,51.85,8.93,9.63,12.92,5.38,2.65,10.92,10.56,7.66,32.94
MPEG28537,,MPEG,P. steerei,-70.73359,-6.80001,8.79,13.5,27.59,21.76,61.02,23.98,23.83,16.19,12.13,16.03,43.93,21.52,51.2,8.41,9.63,13.49,5.43,2.49,10.94,10.71,8.43,32.21
MPEG28540,MVZ194987,MPEG,P. steerei,-70.75008,-6.83344,9.04,12.33,26.59,21.4,58.62,23.23,23.57,15.56,11.36,15.33,40.75,20.9,47.7,8.61,9.65,12.44,5.53,2.98,10.17,10.36,7.5,29.34
MPEG28543,MVZ194997,MPEG,P. steerei,-70.85003,-6.75,8.39,12.74,28.06,22.23,61.2,25.31,25.17,15.29,11.29,15.83,42.52,20.47,49.7,8.56,9.64,13.14,6.1,3.11,10.68,9.82,7.81,32.79
MPEG28546,,MPEG,P. steerei,-70.85003,-6.75,9.92,13.29,28.24,22.48,61.69,23.51,24.01,16.04,11.31,16.37,43.58,22.4,50.75,8.3,10.2,14.04,6.09,3.17,11.38,10.51,8.7,33.96
MPEG28558,,MPEG,P. steerei,-70.85003,-6.75,8.46,12.53,26.82,22.29,59.6,23.57,23.38,15.4,11.04,15.13,41.57,20.97,48.8,8.76,9.19,12.47,5.54,2.65,10.45,10.39,7.89,31.74
MPEG28559,,MPEG,P. steerei,-68.76667,-6.46669,10.36,13.45,29.54,22.79,64.65,27.12,26.93,16.23,12.44,17.41,46.2,22.67,52.99,8.43,10.88,14.79,5.85,2.81,11.94,10.42,9.23,34.83
MPEG28562,MVZ195034,MPEG,P. steerei,-68.76667,-6.46669,10.56,13.7,30.19,22.13,64.44,25.33,25.61,16.4,12.19,17.38,45.94,22.05,53.78,8.18,10.78,13.11,6.65,3.11,10.66,10.17,8.38,35.87
MPEG28564,MVZ195036,MPEG,P. steerei,-68.76667,-6.46669,9.51,12.47,26.97,20.66,54.73,21.81,21.11,14.48,11.14,14.88,38.43,18.55,44.94,9.04,8.9,10.87,5.53,3.2,10.04,9.92,6.92,28.58
