Individual	Species	RB	ZB	MB	GSL	RD	CDM1	BaL	D	BuL	OccW
AMNH272699	PRO	0.494828065599574	0.818389414079192	-1.90092786309342	-0.233798463904326	0.528911063121068	0.483394225744776	-1.01732080140125	-0.936614958370618	-1.45892327365579	-2.50736801466252
AMNH272700	PRO	0.644130255731668	0.776203932931243	1.87134443420044	-0.540846162225603	0.060863669060107	0.710349539570897	-0.698752948830025	-1.76642885390848	0.484880113996634	1.41041039995297
AMNH272716	PRO	0.376918635860276	1.1656408978315	-1.87616067910091	1.4458666428621	3.24481273935071	1.38006451796859	-0.8934501291559	-0.824345694578672	-4.02165314166313	-1.26015570087031
AMNH272717	PRO	-1.93192588405167	-2.49628062168405	-1.39549676750513	1.42164275566694	2.28150991608059	0.362832887155441	-0.542220298577063	-0.212892016457667	-1.5682794952095	-0.172284821045753
AMNH28517	PRO	-3.31933605442168	0.197910196541695	-3.74411669131784	-0.0518602210823057	-0.912631105783447	0.132394265592739	0.325463855391271	-0.408574268511288	-4.75815386091428	-0.602894480659481
AMNH29548	HG	-3.4519899760316	-0.970761487458681	-3.71723013135719	0.146136508877879	1.71814438765026	1.35738045870319	0.367178717890585	-0.59013363801607	-5.57967671345245	-0.00172782407214223
AMNH30189	PRO	-1.07410455791787	0.637781359953501	-0.716530894058773	-0.845138610849031	0.673292088218178	1.21220066404443	-1.19299095201115	-1.45319343846548	2.30430265772648	-0.18644287945796
AMNH30205	PRO	1.14433095607906	-0.706655826738052	0.297786177948181	-0.979950928898854	0.155798029476004	0.853767636464411	-1.22420555792706	-0.951468061338621	3.83234266024966	3.58271933717007
AMNH30722	PRO	3.23925116535413	1.08090639064698	-4.52537284087625	-0.0403459858587311	1.12538837793124	0.278901598959076	0.439472889544831	0.859457138189706	0.569876123060119	3.89607354295994
AMNH30723	PRO	4.97102550493547	0.478234793751519	-3.28102141115024	0.0441573269776099	1.23747439137621	1.8134234745347	-0.622078800645348	-0.0389054409265876	1.54591949968936	2.55358387600392
AMNH30724	PRO	1.20649617933796	-2.04313883944098	-2.39014794824646	1.81958071070702	0.977729309097639	-0.302827615613017	0.9821773286125	1.1387575603749	-0.447788525813904	-1.47900839064305
AMNH33212	PRO	-3.63090699287618	1.43974582003897	0.0119397088660436	1.0542030847806	1.08569267751655	2.29114151640844	-0.673591236704847	-1.70405374311758	-4.9102002550733	2.42083545179636
AMNH33213	PRO	-1.16704226165296	0.245471570626249	-4.62948783639874	-0.442944477161629	0.0855836625978491	-1.37689770551124	0.198265495464378	0.461700818836404	-4.41781438964177	-0.544985829410796
AMNH34211	HG	0.543998741714792	2.63644054344559	-0.949964044418467	-0.595172550776254	3.98640930117278	0.725703578718312	-1.07467093377636	-0.792283444308432	-4.39871529916747	2.27074622687225
AMNH63081	PRO	-2.15360390733797	1.82683372477056	-1.70343773033286	-1.84570684143615	-1.10392285915253	-0.581838789873879	0.690014627196902	-2.19427764472469	0.235187093024875	-2.30227349612189
AMNH64663	PRO	-1.65578939870865	-0.0365470510772151	2.28158330651097	-1.07939598124474	-1.75115662318803	0.0877957878478012	-0.24092715448567	-1.38368905349525	-0.758948006565074	-0.441828873308305
AMNH64666	PRO	-0.171388420013856	-0.0561896791999649	-0.372569850565757	-0.985453940873177	-2.41398749102172	-1.41614882757467	0.300598092252541	-0.868698536290665	2.5978027413364	-1.14016738200105
AMNH75633	TEP	2.68391420100508	1.09082981350054	-1.82586942937819	-1.10268539225949	-1.45636648800028	0.0410233954912006	0.21315953050776	1.89968857402485	-5.99105196822725	-1.42278698363251
APC1034	PRO	1.81469522480084	1.71864649459234	1.04442053656804	-0.688942619048672	-0.37507661823111	0.699549635977738	-0.603814405853371	-1.25671432633554	0.707921525352703	-0.407213221539033
APC1069	PRO	0.495013774734812	-0.396426856040751	1.88713762564161	-0.837834408617185	-1.06574459120774	-0.522684707266855	0.344052252573504	1.35089046764459	-0.26640287274714	-4.16845117992815
APC1072	PRO	0.438660691396533	-0.296586189812183	1.77833434026207	-1.26756927653727	-0.454442966002589	-2.14433675083991	0.162240592065384	0.435688855212424	-1.05904403461309	1.05440689098357
APC1085	PRO	2.17973377367871	1.11816199393106	0.840661064536984	-0.355764665918025	-0.610439490294687	-0.220051422833393	-0.0945330935789497	0.8455990618639	0.585909611032372	-2.64177192645328
APC1095	PRO	0.675989868370278	-0.903473481319885	0.371591181513183	-0.0195819858592385	0.147073571989571	-0.467973983848618	0.0960545213980198	-0.765666514020991	-0.101505433242109	1.78982865429689
APC342	PRO	3.06707932019446	1.12058930356133	0.420631107768723	0.768630421498806	-0.664809074713601	0.169117217537691	-0.0292227952405524	-0.473522521369998	3.35357839623334	1.75144399712674
APC344	PRO	2.31627131869289	0.252727173965762	0.849130708292519	0.548681469054389	-1.5100536171829	-0.847410639994809	0.387788873848526	0.797497198364437	6.05590179235237	6.03392687650131
CIT588	PRO	-3.15648655324908	-0.127140301434027	3.24535321930934	-0.17840006463153	-1.39912062030574	0.0119493259628659	0.809536064159973	-0.561467066099405	0.49660920323315	-0.350444262191954
CIT644	PRO	0.00363895108607298	1.43408431966955	0.56881687170915	0.198988545801374	0.45365471476803	-0.373609492097431	1.43275569601055	0.437572439745193	-1.55900746617196	-3.07752613157207
EFA004	PRO	-3.62107315078657	-1.19768219070176	1.06113293007939	-0.327541950418288	0.701230693813973	0.189028319154087	0.0936713216366994	-0.677215147110209	-1.0279525075296	-0.822907468057136
EFA015	PRO	-4.47670614448168	-1.86391420423186	-1.16405391179385	0.102244950587937	-0.396689209201605	0.371206733952356	0.984206300821357	1.32407570416655	-2.96749093292497	-4.28959375855295
EFA038	PRO	0.619188966068379	0.949272940470611	-2.33976522184447	0.732104782605237	1.41603417977087	0.699576818686091	-0.192424081349317	0.862732981125607	-2.56683138453816	-1.63342250554138
ICA027	PRO	0.502166459534105	-1.05540673671023	1.54651502095898	0.781212976230995	1.65079958554469	0.478862573248643	0.684953708610554	2.8554823284355	-0.820597012005459	-2.21299777958332
ICA095	PRO	-2.89892484344657	-1.48957999305891	-1.07551616942273	-0.239818248749612	-0.771794125413844	-1.02058250653564	-0.185758384927333	-1.38814224829605	-3.36511486004146	-0.872108328107772
ICA240	PRO	-0.42771334237524	-0.963230807927245	-1.54658148140377	-0.20240160980754	0.581964325710444	0.50416681691009	0.465300234896252	1.27075922849485	-2.97953464740151	-0.27366797555158
ICA246	PRO	-1.72199417745764	-0.325678257967043	0.0298774445665102	-0.833707618969145	-0.142407292303675	0.90752404281128	-0.149026661773785	-0.410071719186324	-3.51462477530125	-3.33996012784485
ICA269	PRO	3.26384354151027	0.939465762396851	-0.704716904243008	-0.350572074905161	0.146478154854336	-0.284661057693934	-0.8826411276232	-0.624485366621859	-1.69313529828721	-0.128857447779403
JAP006	PRO	-5.13204112940898	-2.49872247905391	0.496120729795512	-0.224669646768697	-0.906102187137214	-0.603462240119883	0.469848276292816	-1.449715437461	-2.33318508661963	-2.7145679726061
JAP013	PRO	-0.773529918715286	-0.620857924157292	2.48909501906545	-0.530449628233635	-0.598185190104038	-0.218441785792342	-0.161354864813373	-2.04648653695216	-2.84047464483466	2.11291759632299
JAP085	PRO	-0.821962259288139	-0.0914307444784707	1.1928962304044	0.602440560622676	0.91317860977335	1.04288263763169	0.35193547416446	2.16598358090743	2.68293553277632	-2.50160228603162
JAP086	PRO	-1.34241430781369	-1.57846937257259	-0.918022057291296	0.798579244962436	0.910898776504415	1.22364659993752	0.24938918856784	-0.201681274989804	-2.03007480033973	0.512704924628799
JAP094	PRO	-1.72439840120447	0.257282371138161	-1.69050631120543	0.806930389570454	0.0549814358274902	0.580461280542708	-0.238501912056925	0.229110199759176	-2.86819957719075	0.778456349045439
JAP095	PRO	-3.95730401657591	0.227713555463917	1.01882474135163	0.519797621971105	1.29426227718443	1.55908151202203	0.0454067185436807	-0.492712442701296	-2.82301730090491	-0.435168554710941
JAP098	PRO	-2.17708813467071	-0.0767515249022772	0.0224890682979563	0.284139881736192	0.616869978345946	1.25916720963381	-0.529392731904584	0.0869905644673056	-2.62290780830615	2.31449822590053
JAP099	PRO	-2.78971856212698	-1.73327432464515	-2.60476600408197	1.11195441177608	1.95995518577193	0.919152422141739	-0.185986079718379	-0.629292494420907	0.0264708398950413	-2.05573114810794
JAP102	PRO	-2.26934967663675	-0.206142202044729	0.262656481897696	-0.0710580431956839	1.82257389701036	1.02798550200706	-0.127837451247706	-1.0409041240886	0.693432875941869	-0.354358672643679
JAP107	PRO	-3.93831981752128	0.380674657946436	-0.856217525538323	0.477752450846939	2.35085173584488	1.91767305049826	-0.215967347477961	-0.231686962870875	-1.37089716778212	-0.854072354450266
JAP108	PRO	-2.75477525966826	0.818620687568447	1.57682870555004	-0.309758418769232	0.650546401546967	0.892919679083608	-1.09034480402085	-0.537843489428483	0.406655461363533	1.33965630868526
JAP109	PRO	3.17388349693207	1.51140660619028	1.40234029366185	0.81652366655359	0.105591411761309	1.19988508818823	-0.439260532021154	0.596426344036311	1.68147436451816	2.73214160794753
